,2026-01-31,2025-01-31,2024-01-31,2023-01-31,2022-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,-284130000.0,
Tax Rate For Calcs,0.15117,0.132649,0.12,0.21,
Normalized EBITDA,144552000000.0,86137000000.0,35583000000.0,7339000000.0,
Total Unusual Items,,0.0,0.0,-1353000000.0,0.0
Total Unusual Items Excluding Goodwill,,0.0,0.0,-1353000000.0,0.0
Net Income From Continuing Operation Net Minority Interest,120067000000.0,72880000000.0,29760000000.0,4368000000.0,
Reconciled Depreciation,2843000000.0,1864000000.0,1508000000.0,1543000000.0,
Reconciled Cost Of Revenue,62475000000.0,32639000000.0,16621000000.0,11618000000.0,
EBITDA,144552000000.0,86137000000.0,35583000000.0,5986000000.0,
EBIT,141709000000.0,84273000000.0,34075000000.0,4443000000.0,
Net Interest Income,2041000000.0,1539000000.0,609000000.0,5000000.0,
Interest Expense,259000000.0,247000000.0,257000000.0,262000000.0,
Interest Income,2300000000.0,1786000000.0,866000000.0,267000000.0,
Normalized Income,120067000000.0,72880000000.0,29760000000.0,5436870000.0,
Net Income From Continuing And Discontinued Operation,120067000000.0,72880000000.0,29760000000.0,4368000000.0,
Total Expenses,85551000000.0,49044000000.0,27950000000.0,21397000000.0,
Total Operating Income As Reported,130387000000.0,81453000000.0,32972000000.0,4224000000.0,
Diluted Average Shares,24514000000.0,24804000000.0,24940000000.0,25070000000.0,
Basic Average Shares,24359000000.0,24555000000.0,24690000000.0,24870000000.0,
Diluted EPS,4.9,2.94,1.19,0.174,
Basic EPS,4.93,2.97,1.21,0.176,
Diluted NI Availto Com Stockholders,120067000000.0,72880000000.0,29760000000.0,4368000000.0,
Net Income Common Stockholders,120067000000.0,72880000000.0,29760000000.0,4368000000.0,
Net Income,120067000000.0,72880000000.0,29760000000.0,4368000000.0,
Net Income Including Noncontrolling Interests,120067000000.0,72880000000.0,29760000000.0,4368000000.0,
Net Income Continuous Operations,120067000000.0,72880000000.0,29760000000.0,4368000000.0,
Tax Provision,21383000000.0,11146000000.0,4058000000.0,-187000000.0,
Pretax Income,141450000000.0,84026000000.0,33818000000.0,4181000000.0,
Other Income Expense,9022000000.0,1034000000.0,237000000.0,-1401000000.0,
Other Non Operating Income Expenses,9022000000.0,1034000000.0,237000000.0,-48000000.0,
Special Income Charges,,0.0,0.0,-1353000000.0,0.0
Restructuring And Mergern Acquisition,,0.0,0.0,1353000000.0,0.0
Net Non Operating Interest Income Expense,2041000000.0,1539000000.0,609000000.0,5000000.0,
Interest Expense Non Operating,259000000.0,247000000.0,257000000.0,262000000.0,
Interest Income Non Operating,2300000000.0,1786000000.0,866000000.0,267000000.0,
Operating Income,130387000000.0,81453000000.0,32972000000.0,5577000000.0,
Operating Expense,23076000000.0,16405000000.0,11329000000.0,9779000000.0,
Research And Development,18497000000.0,12914000000.0,8675000000.0,7339000000.0,
Selling General And Administration,4579000000.0,3491000000.0,2654000000.0,2440000000.0,
Gross Profit,153463000000.0,97858000000.0,44301000000.0,15356000000.0,
Cost Of Revenue,62475000000.0,32639000000.0,16621000000.0,11618000000.0,
Total Revenue,215938000000.0,130497000000.0,60922000000.0,26974000000.0,
Operating Revenue,215938000000.0,130497000000.0,60922000000.0,26974000000.0,
